arima_mape,arima_rmse,arima_mae,prophet_mape,prophet_rmse,prophet_mae
6.32,17.28,13.31,8.61,23.9,17.82
2.42,5.95,4.93,3.87,10.16,7.87
6.5,19.93,14.94,20.34,51.71,45.15
6.81,20.0,15.93,11.6,28.47,25.92
4.31,13.68,10.4,2.81,7.08,6.45
