arima_mape,arima_rmse,arima_mae,prophet_mape,prophet_rmse,prophet_mae
4.47,10.64,8.88,6.11,12.72,12.05
20.75,35.09,33.87,28.63,49.66,46.4
5.6,11.03,9.49,9.13,18.17,15.65
10.13,18.56,17.82,22.04,40.62,38.63
3.52,7.32,6.28,4.95,9.97,8.79
