ds,Open,High,Low,y,Volume,Dividends,Stock Splits
2024-04-25,158.9600067138672,170.8800048828125,158.36000061035156,170.17999267578125,126427500,0.0,0.0
2024-04-26,168.85000610351562,172.1199951171875,166.3699951171875,168.2899932861328,109815700,0.0,0.0
2024-04-29,188.4199981689453,198.8699951171875,184.5399932861328,194.0500030517578,243869700,0.0,0.0
2024-04-30,186.97999572753903,190.9499969482422,182.83999633789065,183.27999877929688,127031800,0.0,0.0
2024-05-01,182.0,185.8600006103516,179.00999450683594,179.99000549316406,92829700,0.0,0.0
2024-05-02,182.8600006103516,184.6000061035156,176.02000427246094,180.00999450683594,89148000,0.0,0.0
2024-05-03,182.1000061035156,184.77999877929688,178.4199981689453,181.19000244140625,75491500,0.0,0.0
2024-05-06,183.8000030517578,187.5599975585937,182.1999969482422,184.759994506836,84390300,0.0,0.0
2024-05-07,182.3999938964844,183.259994506836,177.39999389648438,177.80999755859375,75045900,0.0,0.0
2024-05-08,171.58999633789062,176.05999755859375,170.14999389648438,174.72000122070312,79969500,0.0,0.0
2024-05-09,175.00999450683594,175.6199951171875,171.3699951171875,171.97000122070312,65950300,0.0,0.0
2024-05-10,173.0500030517578,173.05999755859375,167.75,168.47000122070312,72627200,0.0,0.0
2024-05-13,170.0,175.39999389648438,169.0,171.88999938964844,67018900,0.0,0.0
2024-05-14,174.5,179.49000549316406,174.07000732421875,177.5500030517578,86407400,0.0,0.0
2024-05-15,179.89999389648438,180.0,173.11000061035156,173.99000549316406,79663000,0.0,0.0
2024-05-16,174.10000610351562,175.7899932861328,171.42999267578125,174.83999633789062,59812200,0.0,0.0
2024-05-17,173.5500030517578,179.6300048828125,172.75,177.4600067138672,77445800,0.0,0.0
2024-05-20,177.55999755859375,177.75,173.52000427246094,174.9499969482422,61727400,0.0,0.0
2024-05-21,175.50999450683594,186.8800048828125,174.7100067138672,186.6000061035156,115266500,0.0,0.0
2024-05-22,182.8500061035156,183.8000030517578,178.1199951171875,180.11000061035156,88313500,0.0,0.0
2024-05-23,181.8000030517578,181.8999938964844,173.25999450683594,173.74000549316406,71975500,0.0,0.0
2024-05-24,174.83999633789062,180.0800018310547,173.72999572753906,179.24000549316406,65479700,0.0,0.0
2024-05-28,176.39999389648438,178.25,173.16000366210938,176.75,59736600,0.0,0.0
2024-05-29,174.19000244140625,178.14999389648438,173.92999267578125,176.19000244140625,54782600,0.0,0.0
2024-05-30,178.5800018310547,182.6699981689453,175.3800048828125,178.7899932861328,77784800,0.0,0.0
2024-05-31,178.5,180.32000732421875,173.82000732421875,178.0800018310547,67314600,0.0,0.0
2024-06-03,178.1300048828125,182.63999938964844,174.49000549316406,176.2899932861328,68568900,0.0,0.0
2024-06-04,174.77999877929688,177.75999450683594,174.0,174.77000427246094,60056300,0.0,0.0
2024-06-05,175.35000610351562,176.14999389648438,172.1300048828125,175.0,57953800,0.0,0.0
2024-06-06,174.60000610351562,179.72999572753906,172.72999572753906,177.94000244140625,69887000,0.0,0.0
2024-06-07,176.1300048828125,179.35000610351562,175.5800018310547,177.47999572753906,56244900,0.0,0.0
2024-06-10,176.05999755859375,178.57000732421875,173.1699981689453,173.7899932861328,50869700,0.0,0.0
2024-06-11,173.9199981689453,174.75,167.41000366210938,170.66000366210938,64761900,0.0,0.0
2024-06-12,171.1199951171875,180.5500030517578,169.8000030517578,177.2899932861328,90389400,0.0,0.0
2024-06-13,188.38999938964844,191.0800018310547,181.22999572753903,182.47000122070312,118984100,0.0,0.0
2024-06-14,185.8000030517578,186.0,176.9199981689453,178.00999450683594,82038200,0.0,0.0
2024-06-17,177.9199981689453,188.8099975585937,177.0,187.44000244140625,109786100,0.0,0.0
2024-06-18,186.5599975585937,187.1999969482422,182.3699951171875,184.8600006103516,68982300,0.0,0.0
2024-06-20,184.67999267578125,185.2100067138672,179.66000366210938,181.57000732421875,55893100,0.0,0.0
2024-06-21,182.3000030517578,183.9499969482422,180.69000244140625,183.009994506836,63029500,0.0,0.0
2024-06-24,184.97000122070312,188.8000030517578,182.5500030517578,182.5800018310547,61992100,0.0,0.0
2024-06-25,184.3999938964844,187.97000122070312,182.009994506836,187.3500061035156,63678300,0.0,0.0
2024-06-26,186.5399932861328,197.759994506836,186.3600006103516,196.3699951171875,95737100,0.0,0.0
2024-06-27,195.1699981689453,198.72000122070312,194.0500030517578,197.4199981689453,72746500,0.0,0.0
2024-06-28,199.5500030517578,203.1999969482422,195.259994506836,197.8800048828125,95438100,0.0,0.0
2024-07-01,201.0200042724609,213.22999572753903,200.8500061035156,209.8600006103516,135691400,0.0,0.0
2024-07-02,218.88999938964844,231.3000030517578,218.0599975585937,231.259994506836,205047900,0.0,0.0
2024-07-03,234.5599975585937,248.3500061035156,234.25,246.38999938964844,166561500,0.0,0.0
2024-07-05,249.8099975585937,252.3699951171875,242.4600067138672,251.5200042724609,154501200,0.0,0.0
2024-07-08,247.7100067138672,259.44000244140625,244.57000732421875,252.94000244140625,157219600,0.0,0.0
2024-07-09,251.0,265.6099853515625,250.3000030517578,262.3299865722656,160210900,0.0,0.0
2024-07-10,262.79998779296875,267.5899963378906,257.8599853515625,263.260009765625,128519400,0.0,0.0
2024-07-11,263.29998779296875,271.0,239.6499938964844,241.02999877929688,221707300,0.0,0.0
2024-07-12,235.8000030517578,251.83999633789065,233.08999633789065,248.22999572753903,155955800,0.0,0.0
2024-07-15,255.97000122070312,265.6000061035156,251.72999572753903,252.63999938964844,146912900,0.0,0.0
2024-07-16,255.3099975585937,258.6199951171875,245.8000030517578,256.5599975585937,126332500,0.0,0.0
2024-07-17,252.72999572753903,258.4700012207031,246.17999267578125,248.5,115584800,0.0,0.0
2024-07-18,251.08999633789065,257.1400146484375,247.1999969482422,249.22999572753903,110869000,0.0,0.0
2024-07-19,247.7899932861328,249.44000244140625,236.8300018310547,239.1999969482422,87403900,0.0,0.0
2024-07-22,244.2100067138672,253.2100067138672,243.75,251.509994506836,101225400,0.0,0.0
2024-07-23,253.6000061035156,255.759994506836,245.6300048828125,246.3800048828125,111928200,0.0,0.0
2024-07-24,225.4199981689453,225.9900054931641,214.7100067138672,215.9900054931641,167942900,0.0,0.0
2024-07-25,216.8000030517578,226.0,216.22999572753903,220.25,100636500,0.0,0.0
2024-07-26,221.19000244140625,222.27999877929688,215.3300018310547,219.8000030517578,94604100,0.0,0.0
2024-07-29,224.8999938964844,234.2700042724609,224.6999969482422,232.1000061035156,129201800,0.0,0.0
2024-07-30,232.25,232.4100036621093,220.0,222.6199951171875,100560300,0.0,0.0
2024-07-31,227.8999938964844,234.67999267578125,226.7899932861328,232.07000732421875,67497000,0.0,0.0
2024-08-01,227.69000244140625,231.8699951171875,214.3300018310547,216.8600006103516,83861900,0.0,0.0
2024-08-02,214.8800048828125,216.1300048828125,205.77999877929688,207.6699981689453,82880100,0.0,0.0
2024-08-05,185.22000122070312,203.8800048828125,182.0,198.8800048828125,100308800,0.0,0.0
2024-08-06,200.75,202.8999938964844,192.6699981689453,200.63999938964844,73783900,0.0,0.0
2024-08-07,200.7700042724609,203.4900054931641,191.47999572753903,191.759994506836,71159800,0.0,0.0
2024-08-08,195.6999969482422,200.6999969482422,192.0399932861328,198.83999633789065,65033900,0.0,0.0
2024-08-09,197.0500030517578,200.8800048828125,195.1100006103516,200.0,58648300,0.0,0.0
2024-08-12,199.0200042724609,199.259994506836,194.6699981689453,197.4900054931641,64044900,0.0,0.0
2024-08-13,198.47000122070312,208.4900054931641,197.0599975585937,207.8300018310547,76247400,0.0,0.0
2024-08-14,207.38999938964844,208.44000244140625,198.75,201.3800048828125,70250000,0.0,0.0
2024-08-15,205.0200042724609,215.8800048828125,204.82000732421875,214.13999938964844,89848500,0.0,0.0
2024-08-16,211.1499938964844,219.8000030517578,210.8000030517578,216.1199951171875,88765100,0.0,0.0
2024-08-19,217.07000732421875,222.97999572753903,214.08999633789065,222.72000122070312,76435200,0.0,0.0
2024-08-20,224.8800048828125,228.22000122070312,219.5599975585937,221.1000061035156,74001200,0.0,0.0
2024-08-21,222.6699981689453,224.6600036621093,218.8600006103516,223.2700042724609,70146000,0.0,0.0
2024-08-22,223.82000732421875,224.8000030517578,210.32000732421875,210.6600036621093,79514500,0.0,0.0
2024-08-23,214.4600067138672,221.47999572753903,214.2100067138672,220.32000732421875,81525200,0.0,0.0
2024-08-26,218.75,219.08999633789065,211.009994506836,213.2100067138672,59301200,0.0,0.0
2024-08-27,213.25,215.6600036621093,206.94000244140625,209.2100067138672,62821400,0.0,0.0
2024-08-28,209.72000122070312,211.83999633789065,202.58999633789065,205.75,64116400,0.0,0.0
2024-08-29,209.8000030517578,214.88999938964844,205.97000122070312,206.27999877929688,62308800,0.0,0.0
2024-08-30,208.6300048828125,214.57000732421875,207.02999877929688,214.1100006103516,63370600,0.0,0.0
2024-09-03,215.259994506836,219.8999938964844,209.63999938964844,210.6000061035156,76714200,0.0,0.0
2024-09-04,210.58999633789065,222.22000122070312,210.57000732421875,219.4100036621093,80651800,0.0,0.0
2024-09-05,223.4900054931641,235.0,222.25,230.1699981689453,119355000,0.0,0.0
2024-09-06,232.6000061035156,233.6000061035156,210.509994506836,210.72999572753903,112177000,0.0,0.0
2024-09-09,216.1999969482422,219.8699951171875,213.6699981689453,216.2700042724609,67443500,0.0,0.0
2024-09-10,220.07000732421875,226.3999938964844,218.63999938964844,226.1699981689453,78891100,0.0,0.0
2024-09-11,224.5500030517578,228.47000122070312,216.8000030517578,228.1300048828125,83548600,0.0,0.0
2024-09-12,224.6600036621093,231.4499969482422,223.8300018310547,229.8099975585937,72020000,0.0,0.0
2024-09-13,228.0,232.6699981689453,226.32000732421875,230.2899932861328,59515100,0.0,0.0
2024-09-16,229.3000030517578,229.9600067138672,223.52999877929688,226.77999877929688,54323000,0.0,0.0
2024-09-17,229.4499969482422,234.57000732421875,226.5500030517578,227.8699951171875,66761600,0.0,0.0
2024-09-18,230.08999633789065,235.67999267578125,226.8800048828125,227.1999969482422,78010200,0.0,0.0
2024-09-19,234.0,244.2400054931641,232.1300048828125,243.9199981689453,102694600,0.0,0.0
2024-09-20,241.5200042724609,243.9900054931641,235.9199981689453,238.25,99879100,0.0,0.0
2024-09-23,242.6100006103516,250.0,241.9199981689453,250.0,86927200,0.0,0.0
2024-09-24,254.0800018310547,257.19000244140625,249.0500030517578,254.2700042724609,88491000,0.0,0.0
2024-09-25,252.5399932861328,257.04998779296875,252.27999877929688,257.0199890136719,65034300,0.0,0.0
2024-09-26,260.6000061035156,261.75,251.52999877929688,254.22000122070312,67142200,0.0,0.0
2024-09-27,257.3800048828125,260.70001220703125,254.1199951171875,260.4599914550781,70988100,0.0,0.0
2024-09-30,259.0400085449219,264.8599853515625,255.7700042724609,261.6300048828125,80705700,0.0,0.0
2024-10-01,262.6700134277344,263.9800109863281,248.52999877929688,258.0199890136719,87397600,0.0,0.0
2024-10-02,247.5500030517578,251.1600036621093,241.5,249.0200042724609,93983900,0.0,0.0
2024-10-03,244.47999572753903,249.7899932861328,237.8099975585937,240.6600036621093,80729200,0.0,0.0
2024-10-04,246.69000244140625,250.9600067138672,244.5800018310547,250.0800018310547,86573200,0.0,0.0
2024-10-07,249.0,249.8300018310547,240.6999969482422,240.8300018310547,68113300,0.0,0.0
2024-10-08,243.5599975585937,246.2100067138672,240.5599975585937,244.5,56303200,0.0,0.0
2024-10-09,243.82000732421875,247.42999267578125,239.509994506836,241.0500030517578,66289500,0.0,0.0
2024-10-10,241.8099975585937,242.7899932861328,232.33999633789065,238.7700042724609,83087100,0.0,0.0
2024-10-11,220.1300048828125,223.33999633789065,214.3800048828125,217.8000030517578,142628900,0.0,0.0
2024-10-14,220.1300048828125,221.9100036621093,213.7400054931641,219.1600036621093,86291900,0.0,0.0
2024-10-15,220.009994506836,224.259994506836,217.1199951171875,219.57000732421875,62988800,0.0,0.0
2024-10-16,221.3999938964844,222.82000732421875,218.92999267578125,221.3300018310547,49632800,0.0,0.0
2024-10-17,221.58999633789065,222.0800018310547,217.8999938964844,220.88999938964844,50791800,0.0,0.0
2024-10-18,220.7100067138672,222.27999877929688,219.22999572753903,220.6999969482422,49611900,0.0,0.0
2024-10-21,218.8999938964844,220.47999572753903,215.72999572753903,218.8500061035156,47329000,0.0,0.0
2024-10-22,217.3099975585937,218.22000122070312,215.259994506836,217.97000122070312,43268700,0.0,0.0
2024-10-23,217.1300048828125,218.72000122070312,212.1100006103516,213.6499938964844,80938900,0.0,0.0
2024-10-24,244.67999267578125,262.1199951171875,242.6499938964844,260.4800109863281,204491900,0.0,0.0
2024-10-25,256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900,0.0,0.0
2024-10-28,270.0,273.5400085449219,262.239990234375,262.510009765625,107653600,0.0,0.0
2024-10-29,264.510009765625,264.9800109863281,255.509994506836,259.5199890136719,80521800,0.0,0.0
2024-10-30,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600,0.0,0.0
2024-10-31,257.989990234375,259.75,249.25,249.8500061035156,66575300,0.0,0.0
2024-11-01,252.0399932861328,254.0,246.6300048828125,248.97999572753903,57544800,0.0,0.0
2024-11-04,244.5599975585937,248.8999938964844,238.8800048828125,242.83999633789065,68802400,0.0,0.0
2024-11-05,247.33999633789065,255.27999877929688,246.2100067138672,251.44000244140625,69282500,0.0,0.0
2024-11-06,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700,0.0,0.0
2024-11-07,288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200,0.0,0.0
2024-11-08,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800,0.0,0.0
2024-11-11,346.29998779296875,358.6400146484375,336.0,350.0,210521600,0.0,0.0
2024-11-12,342.739990234375,345.8399963378906,323.3099975585937,328.489990234375,155726000,0.0,0.0
2024-11-13,335.8500061035156,344.6000061035156,322.5,330.239990234375,125405600,0.0,0.0
