ds,Open,High,Low,y,Volume,Dividends,Stock Splits
2024-01-02,186.03305662356885,187.3153662175252,182.79251821875232,184.5320739746093,82488700,0.0,0.0
2024-01-03,183.1205708792931,184.77066759112083,182.3352771284137,183.150390625,58414500,0.0,0.0
2024-01-04,181.0629140403049,181.99730650228184,179.80050438167336,180.8243560791016,71983600,0.0,0.0
2024-01-05,180.90388776119545,181.66928147459845,179.09474225448028,180.0987091064453,62303300,0.0,0.0
2024-01-08,181.0032684531674,184.4923301954816,180.41679326133183,184.4525604248047,59144500,0.0,0.0
2024-01-09,182.82234457021028,184.0449995558496,181.63944418662985,184.0350646972656,42841800,0.0,0.0
2024-01-10,183.2497813853363,185.28753458558947,182.8223397938252,185.07879638671875,46792900,0.0,0.0
2024-01-11,185.42671870400417,185.93368472067908,182.524147145214,184.48239135742188,49128400,0.0,0.0
2024-01-12,184.9495734055796,185.6255229866903,184.0847705038269,184.81040954589844,40444700,0.0,0.0
2024-01-16,181.07284484780743,183.16030262539027,179.85017475552078,182.53407287597656,65603000,0.0,0.0
2024-01-17,180.1881635122084,181.83824490899727,179.22395137316974,181.58973693847656,47317400,0.0,0.0
2024-01-18,184.9794074795469,188.0112080514625,184.72096462518127,187.50425720214844,78005800,0.0,0.0
2024-01-19,188.2000611602168,190.80441988057507,187.69311035237,190.416748046875,68741000,0.0,0.0
2024-01-22,191.1523420023232,194.16425751836653,191.11257223144145,192.7328491210937,60133900,0.0,0.0
2024-01-23,193.8561183903394,194.58175747905844,192.6732179231456,194.01515197753903,42355600,0.0,0.0
2024-01-24,194.25371040083743,195.20798769039715,193.18015413797897,193.3392028808593,53631300,0.0,0.0
2024-01-25,194.0549059471631,195.0986424607324,191.95749806154728,193.0111694335937,54822100,0.0,0.0
2024-01-26,193.11058683739927,193.59765277461963,190.79449062577763,191.2716217041016,44594000,0.0,0.0
2024-01-29,190.8640668648328,191.05293535979936,188.4485765371413,190.5857391357422,47145600,0.0,0.0
2024-01-30,189.80045678886228,190.65532484477697,186.35116482109103,186.91775512695312,55859400,0.0,0.0
2024-01-31,185.923727976182,185.98338263365991,183.2497947899504,183.2994842529297,55467800,0.0,0.0
2024-02-01,182.8919601744576,185.83428651369456,182.7229765480854,185.7448272705078,64885400,0.0,0.0
2024-02-02,178.78657309445222,186.21199239128737,178.1802130458578,184.74082946777344,102518000,0.0,0.0
2024-02-05,187.02710222804,188.120543422021,184.7308908884036,186.5599060058593,69668800,0.0,0.0
2024-02-06,185.74481710103248,188.18019242781668,185.6553578627436,188.1702575683593,43490800,0.0,0.0
2024-02-07,189.5022571462235,189.9098139006124,187.4843734286802,188.27960205078125,53439000,0.0,0.0
2024-02-08,188.25971226684047,188.40881099372643,186.2318937425713,187.19610595703125,40962000,0.0,0.0
2024-02-09,187.76340641648085,189.0971204380579,187.11646725876847,187.9624786376953,45155200,0.24,0.0
2024-02-12,187.53449778464588,187.78332288230948,185.91215328801408,186.2704620361328,41781900,0.0,0.0
2024-02-13,184.89694454758447,185.33487911795885,182.64755610649428,184.1703643798828,56529500,0.0,0.0
2024-02-14,184.44906062504623,184.6580651852537,181.58259087415232,183.2845458984375,54630500,0.0,0.0
2024-02-15,182.68738521978767,183.6229699937759,180.4977274519665,182.9959259033203,65434500,0.0,0.0
2024-02-16,182.5579699194549,183.981257173353,180.8161944830339,181.45318603515625,49701400,0.0,0.0
2024-02-20,180.9356408984835,181.5726325042779,179.15405998428736,180.70672607421875,53665600,0.0,0.0
2024-02-21,181.08496152111417,182.03049388623003,179.81097819372195,181.4631805419922,41529700,0.0,0.0
2024-02-22,182.6176928712824,184.090748234488,181.60249751065345,183.5035095214844,52292200,0.0,0.0
2024-02-23,184.14051969682032,184.1703774935557,181.37358582743232,181.6622314453125,45119700,0.0,0.0
2024-02-26,181.3835505229736,181.90109579673225,179.80101134340092,180.30862426757807,40867400,0.0,0.0
2024-02-27,180.24888975946536,183.05562869813585,178.71611879819,181.77169799804688,54318900,0.0,0.0
2024-02-28,181.6522565198894,182.25939032452453,179.28345207788615,180.5673828125,48953900,0.0,0.0
2024-02-29,180.41808835882696,181.71198177710176,178.6862603817135,179.90052795410156,136682600,0.0,0.0
